"","Combination.label","First.ad","Second.ad","Third.ad","Fourth.ad","Probability.of.combination","Ordered.combination","row"
"341","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",193
"181","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",194
"222","c2","H1_C1","H2_C1","H4_C1","H3_C1","P(c2 | G=C1)=1/24","H1_C1, H2_C1, H4_C1, H3_C1",195
"404","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",196
"58","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",197
"85","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",198
"337","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",199
"343","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",200
"182","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",201
"384","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",202
"59","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",203
"338","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",204
"363","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",205
"259","c22","H4_C1","H2_C1","H3_C1","H1_C1","P(c22 | G=C1)=1/24","H4_C1, H2_C1, H3_C1, H1_C1",206
"273","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",207
"37","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",208
"51","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",209
"18","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",210
"285","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",211
"373","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",212
"50","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",213
"150","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",214
"439","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",215
"374","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",216
"153","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",217
"362","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",218
"247","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",219
"427","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",220
"295","c24","H4_C1","H3_C1","H2_C1","H1_C1","P(c24 | G=C1)=1/24","H4_C1, H3_C1, H2_C1, H1_C1",221
"424","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",222
"334","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",223
"103","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",224
"48","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",225
"369","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",226
"255","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",227
"19","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",228
"152","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",229
"429","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",230
"43","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",231
"167","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",232
"314","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",233
"202","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",234
"26","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",235
"117","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",236
"54","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",237
"11","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",238
"79","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",239
"365","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",240
"275","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",241
"219","c2","H1_C1","H2_C1","H4_C1","H3_C1","P(c2 | G=C1)=1/24","H1_C1, H2_C1, H4_C1, H3_C1",242
"411","c8","H2_C1","H1_C1","H4_C1","H3_C1","P(c8 | G=C1)=1/24","H2_C1, H1_C1, H4_C1, H3_C1",243
"2","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",244
"220","c2","H1_C1","H2_C1","H4_C1","H3_C1","P(c2 | G=C1)=1/24","H1_C1, H2_C1, H4_C1, H3_C1",245
"214","c2","H1_C1","H2_C1","H4_C1","H3_C1","P(c2 | G=C1)=1/24","H1_C1, H2_C1, H4_C1, H3_C1",246
"160","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",247
"303","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",248
"45","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",249
"409","c8","H2_C1","H1_C1","H4_C1","H3_C1","P(c8 | G=C1)=1/24","H2_C1, H1_C1, H4_C1, H3_C1",250
"60","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",251
"96","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",252
"192","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",253
"215","c2","H1_C1","H2_C1","H4_C1","H3_C1","P(c2 | G=C1)=1/24","H1_C1, H2_C1, H4_C1, H3_C1",254
"13","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",255
"80","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",256
"386","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",257
"223","c2","H1_C1","H2_C1","H4_C1","H3_C1","P(c2 | G=C1)=1/24","H1_C1, H2_C1, H4_C1, H3_C1",258
"44","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",259
"89","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",260
"189","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",261
"241","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",262
"24","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",263
"161","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",264
"325","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",265
"246","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",266
"139","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",267
"102","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",268
"87","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",269
"421","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",270
"116","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",271
"372","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",272
"265","c22","H4_C1","H2_C1","H3_C1","H1_C1","P(c22 | G=C1)=1/24","H4_C1, H2_C1, H3_C1, H1_C1",273
"304","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",274
"406","c8","H2_C1","H1_C1","H4_C1","H3_C1","P(c8 | G=C1)=1/24","H2_C1, H1_C1, H4_C1, H3_C1",275
"210","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",276
"312","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",277
"174","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",278
"316","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",279
"277","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",280
"345","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",281
"32","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",282
"218","c2","H1_C1","H2_C1","H4_C1","H3_C1","P(c2 | G=C1)=1/24","H1_C1, H2_C1, H4_C1, H3_C1",283
"147","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",284
"65","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",285
"4","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",286
"298","c24","H4_C1","H3_C1","H2_C1","H1_C1","P(c24 | G=C1)=1/24","H4_C1, H3_C1, H2_C1, H1_C1",287
"352","c5","H1_C1","H4_C1","H2_C1","H3_C1","P(c5 | G=C1)=1/24","H1_C1, H4_C1, H2_C1, H3_C1",288
"72","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",289
"118","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",290
"206","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",291
"353","c5","H1_C1","H4_C1","H2_C1","H3_C1","P(c5 | G=C1)=1/24","H1_C1, H4_C1, H2_C1, H3_C1",292
"333","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",293
"395","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",294
"35","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",295
"367","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",296
"191","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",297
"109","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",298
"438","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",299
"113","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",300
"203","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",301
"180","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",302
"205","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",303
"269","c22","H4_C1","H2_C1","H3_C1","H1_C1","P(c22 | G=C1)=1/24","H4_C1, H2_C1, H3_C1, H1_C1",304
"387","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",305
"64","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",306
"368","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",307
"336","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",308
"294","c24","H4_C1","H3_C1","H2_C1","H1_C1","P(c24 | G=C1)=1/24","H4_C1, H3_C1, H2_C1, H1_C1",309
"155","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",310
"47","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",311
"236","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",312
"90","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",313
"68","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",314
"69","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",315
"250","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",316
"397","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",317
"81","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",318
"350","c5","H1_C1","H4_C1","H2_C1","H3_C1","P(c5 | G=C1)=1/24","H1_C1, H4_C1, H2_C1, H3_C1",319
"256","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",320
"328","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",321
"315","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",322
"239","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",323
"381","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",324
"330","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",325
"243","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",326
"186","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",327
"270","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",328
"282","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",329
"335","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",330
"268","c22","H4_C1","H2_C1","H3_C1","H1_C1","P(c22 | G=C1)=1/24","H4_C1, H2_C1, H3_C1, H1_C1",331
"185","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",332
"55","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",333
"416","c8","H2_C1","H1_C1","H4_C1","H3_C1","P(c8 | G=C1)=1/24","H2_C1, H1_C1, H4_C1, H3_C1",334
"419","c8","H2_C1","H1_C1","H4_C1","H3_C1","P(c8 | G=C1)=1/24","H2_C1, H1_C1, H4_C1, H3_C1",335
"67","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",336
"323","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",337
"283","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",338
"77","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",339
"271","c23","H4_C1","H3_C1","H1_C1","H2_C1","P(c23 | G=C1)=1/24","H4_C1, H3_C1, H1_C1, H2_C1",340
"23","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",341
"382","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",342
"108","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",343
"41","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",344
"393","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",345
"88","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",346
"195","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",347
"339","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",348
"209","c19","H4_C1","H1_C1","H2_C1","H3_C1","P(c19 | G=C1)=1/24","H4_C1, H1_C1, H2_C1, H3_C1",349
"346","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",350
"252","c21","H4_C1","H2_C1","H1_C1","H3_C1","P(c21 | G=C1)=1/24","H4_C1, H2_C1, H1_C1, H3_C1",351
"53","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",352
"297","c24","H4_C1","H3_C1","H2_C1","H1_C1","P(c24 | G=C1)=1/24","H4_C1, H3_C1, H2_C1, H1_C1",353
"389","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",354
"106","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",355
"375","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",356
"399","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",357
"378","c6","H1_C1","H4_C1","H3_C1","H2_C1","P(c6 | G=C1)=1/24","H1_C1, H4_C1, H3_C1, H2_C1",358
"84","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",359
"340","c4","H1_C1","H3_C1","H4_C1","H2_C1","P(c4 | G=C1)=1/24","H1_C1, H3_C1, H4_C1, H2_C1",360
"224","c2","H1_C1","H2_C1","H4_C1","H3_C1","P(c2 | G=C1)=1/24","H1_C1, H2_C1, H4_C1, H3_C1",361
"101","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",362
"123","c14","H3_C1","H1_C1","H4_C1","H2_C1","P(c14 | G=C1)=1/24","H3_C1, H1_C1, H4_C1, H2_C1",363
"71","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",364
"434","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",365
"432","c9","H2_C1","H3_C1","H1_C1","H4_C1","P(c9 | G=C1)=1/24","H2_C1, H3_C1, H1_C1, H4_C1",366
"140","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",367
"385","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",368
"33","c10","H2_C1","H3_C1","H4_C1","H1_C1","P(c10 | G=C1)=1/24","H2_C1, H3_C1, H4_C1, H1_C1",369
"158","c16","H3_C1","H2_C1","H4_C1","H1_C1","P(c16 | G=C1)=1/24","H3_C1, H2_C1, H4_C1, H1_C1",370
"318","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",371
"313","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",372
"94","c13","H3_C1","H1_C1","H2_C1","H4_C1","P(c13 | G=C1)=1/24","H3_C1, H1_C1, H2_C1, H4_C1",373
"187","c18","H3_C1","H4_C1","H2_C1","H1_C1","P(c18 | G=C1)=1/24","H3_C1, H4_C1, H2_C1, H1_C1",374
"322","c3","H1_C1","H3_C1","H2_C1","H4_C1","P(c3 | G=C1)=1/24","H1_C1, H3_C1, H2_C1, H4_C1",375
"173","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",376
"232","c20","H4_C1","H1_C1","H3_C1","H2_C1","P(c20 | G=C1)=1/24","H4_C1, H1_C1, H3_C1, H2_C1",377
"403","c7","H2_C1","H1_C1","H3_C1","H4_C1","P(c7 | G=C1)=1/24","H2_C1, H1_C1, H3_C1, H4_C1",378
"12","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",379
"17","c1","H1_C1","H2_C1","H3_C1","H4_C1","P(c1 | G=C1)=1/24","H1_C1, H2_C1, H3_C1, H4_C1",380
"56","c11","H2_C1","H4_C1","H1_C1","H3_C1","P(c11 | G=C1)=1/24","H2_C1, H4_C1, H1_C1, H3_C1",381
"74","c12","H2_C1","H4_C1","H3_C1","H1_C1","P(c12 | G=C1)=1/24","H2_C1, H4_C1, H3_C1, H1_C1",382
"170","c17","H3_C1","H4_C1","H1_C1","H2_C1","P(c17 | G=C1)=1/24","H3_C1, H4_C1, H1_C1, H2_C1",383
"216","c2","H1_C1","H2_C1","H4_C1","H3_C1","P(c2 | G=C1)=1/24","H1_C1, H2_C1, H4_C1, H3_C1",384
"217","c2","H1_C1","H2_C1","H4_C1","H3_C1","P(c2 | G=C1)=1/24","H1_C1, H2_C1, H4_C1, H3_C1",385
