"","Combination.label","First.ad","Second.ad","Third.ad","Fourth.ad","Probability.of.combination","Ordered.combination","row"
"875","c438","H4N1_T","H1N3_T","H2N4_T","H3N2_T","P(c438 | G=T)=1/576","H4N1_T, H1N3_T, H2N4_T, H3N2_T",176
"396","c245","H2N3_T","H4N2_T","H1N1_T","H3N4_T","P(c245 | G=T)=1/576","H2N3_T, H4N2_T, H1N1_T, H3N4_T",177
"586","c324","H3N1_T","H4N4_T","H2N3_T","H1N2_T","P(c324 | G=T)=1/576","H3N1_T, H4N4_T, H2N3_T, H1N2_T",178
"1240","c67","H1N2_T","H4N3_T","H3N1_T","H2N4_T","P(c67 | G=T)=1/576","H1N2_T, H4N3_T, H3N1_T, H2N4_T",179
"206","c175","H2N1_T","H4N3_T","H3N2_T","H1N4_T","P(c175 | G=T)=1/576","H2N1_T, H4N3_T, H3N2_T, H1N4_T",180
"462","c276","H2N4_T","H3N3_T","H4N2_T","H1N1_T","P(c276 | G=T)=1/576","H2N4_T, H3N3_T, H4N2_T, H1N1_T",181
"278","c199","H2N2_T","H3N3_T","H4N1_T","H1N4_T","P(c199 | G=T)=1/576","H2N2_T, H3N3_T, H4N1_T, H1N4_T",182
"650","c347","H3N2_T","H2N4_T","H4N1_T","H1N3_T","P(c347 | G=T)=1/576","H3N2_T, H2N4_T, H4N1_T, H1N3_T",183
"878","c44","H1N2_T","H2N3_T","H4N4_T","H3N1_T","P(c44 | G=T)=1/576","H1N2_T, H2N3_T, H4N4_T, H3N1_T",184
"1148","c551","H4N4_T","H1N3_T","H3N1_T","H2N2_T","P(c551 | G=T)=1/576","H4N4_T, H1N3_T, H3N1_T, H2N2_T",185
"86","c13","H1N1_T","H3N2_T","H2N3_T","H4N4_T","P(c13 | G=T)=1/576","H1N1_T, H3N2_T, H2N3_T, H4N4_T",186
"989","c485","H4N2_T","H2N3_T","H1N1_T","H3N4_T","P(c485 | G=T)=1/576","H4N2_T, H2N3_T, H1N1_T, H3N4_T",187
"700","c365","H3N3_T","H1N2_T","H2N1_T","H4N4_T","P(c365 | G=T)=1/576","H3N3_T, H1N2_T, H2N1_T, H4N4_T",188
"227","c179","H2N1_T","H4N4_T","H3N2_T","H1N3_T","P(c179 | G=T)=1/576","H2N1_T, H4N4_T, H3N2_T, H1N3_T",189
"846","c428","H3N4_T","H4N2_T","H2N3_T","H1N1_T","P(c428 | G=T)=1/576","H3N4_T, H4N2_T, H2N3_T, H1N1_T",190
"711","c369","H3N3_T","H1N4_T","H2N1_T","H4N2_T","P(c369 | G=T)=1/576","H3N3_T, H1N4_T, H2N1_T, H4N2_T",191
"1204","c572","H4N4_T","H3N2_T","H2N3_T","H1N1_T","P(c572 | G=T)=1/576","H4N4_T, H3N2_T, H2N3_T, H1N1_T",192
"1265","c74","H1N3_T","H2N1_T","H3N4_T","H4N2_T","P(c74 | G=T)=1/576","H1N3_T, H2N1_T, H3N4_T, H4N2_T",193
"1042","c509","H4N3_T","H1N2_T","H2N1_T","H3N4_T","P(c509 | G=T)=1/576","H4N3_T, H1N2_T, H2N1_T, H3N4_T",194
"946","c467","H4N1_T","H3N4_T","H2N2_T","H1N3_T","P(c467 | G=T)=1/576","H4N1_T, H3N4_T, H2N2_T, H1N3_T",195
"960","c474","H4N2_T","H1N3_T","H2N4_T","H3N1_T","P(c474 | G=T)=1/576","H4N2_T, H1N3_T, H2N4_T, H3N1_T",196
"978","c481","H4N2_T","H2N1_T","H1N3_T","H3N4_T","P(c481 | G=T)=1/576","H4N2_T, H2N1_T, H1N3_T, H3N4_T",197
"838","c423","H3N4_T","H4N1_T","H2N2_T","H1N3_T","P(c423 | G=T)=1/576","H3N4_T, H4N1_T, H2N2_T, H1N3_T",198
"1184","c567","H4N4_T","H3N1_T","H2N2_T","H1N3_T","P(c567 | G=T)=1/576","H4N4_T, H3N1_T, H2N2_T, H1N3_T",199
"712","c369","H3N3_T","H1N4_T","H2N1_T","H4N2_T","P(c369 | G=T)=1/576","H3N3_T, H1N4_T, H2N1_T, H4N2_T",200
"742","c381","H3N3_T","H2N4_T","H1N1_T","H4N2_T","P(c381 | G=T)=1/576","H3N3_T, H2N4_T, H1N1_T, H4N2_T",201
"547","c305","H3N1_T","H2N3_T","H1N2_T","H4N4_T","P(c305 | G=T)=1/576","H3N1_T, H2N3_T, H1N2_T, H4N4_T",202
"236","c183","H2N2_T","H1N1_T","H4N3_T","H3N4_T","P(c183 | G=T)=1/576","H2N2_T, H1N1_T, H4N3_T, H3N4_T",203
"889","c443","H4N1_T","H1N4_T","H3N2_T","H2N3_T","P(c443 | G=T)=1/576","H4N1_T, H1N4_T, H3N2_T, H2N3_T",204
"546","c304","H3N1_T","H2N2_T","H4N4_T","H1N3_T","P(c304 | G=T)=1/576","H3N1_T, H2N2_T, H4N4_T, H1N3_T",205
"836","c422","H3N4_T","H4N1_T","H1N3_T","H2N2_T","P(c422 | G=T)=1/576","H3N4_T, H4N1_T, H1N3_T, H2N2_T",206
"219","c178","H2N1_T","H4N4_T","H1N3_T","H3N2_T","P(c178 | G=T)=1/576","H2N1_T, H4N4_T, H1N3_T, H3N2_T",207
"366","c233","H2N3_T","H3N2_T","H1N1_T","H4N4_T","P(c233 | G=T)=1/576","H2N3_T, H3N2_T, H1N1_T, H4N4_T",208
"59","c118","H1N4_T","H2N3_T","H3N2_T","H4N1_T","P(c118 | G=T)=1/576","H1N4_T, H2N3_T, H3N2_T, H4N1_T",209
"1185","c568","H4N4_T","H3N1_T","H2N3_T","H1N2_T","P(c568 | G=T)=1/576","H4N4_T, H3N1_T, H2N3_T, H1N2_T",210
"599","c327","H3N2_T","H1N1_T","H4N3_T","H2N4_T","P(c327 | G=T)=1/576","H3N2_T, H1N1_T, H4N3_T, H2N4_T",211
"173","c162","H2N1_T","H3N3_T","H1N4_T","H4N2_T","P(c162 | G=T)=1/576","H2N1_T, H3N3_T, H1N4_T, H4N2_T",212
"19","c107","H1N3_T","H4N4_T","H3N1_T","H2N2_T","P(c107 | G=T)=1/576","H1N3_T, H4N4_T, H3N1_T, H2N2_T",213
"866","c437","H4N1_T","H1N3_T","H2N2_T","H3N4_T","P(c437 | G=T)=1/576","H4N1_T, H1N3_T, H2N2_T, H3N4_T",214
"600","c327","H3N2_T","H1N1_T","H4N3_T","H2N4_T","P(c327 | G=T)=1/576","H3N2_T, H1N1_T, H4N3_T, H2N4_T",215
"1111","c537","H4N3_T","H3N4_T","H1N1_T","H2N2_T","P(c537 | G=T)=1/576","H4N3_T, H3N4_T, H1N1_T, H2N2_T",216
"709","c368","H3N3_T","H1N2_T","H4N4_T","H2N1_T","P(c368 | G=T)=1/576","H3N3_T, H1N2_T, H4N4_T, H2N1_T",217
"800","c404","H3N4_T","H1N2_T","H4N3_T","H2N1_T","P(c404 | G=T)=1/576","H3N4_T, H1N2_T, H4N3_T, H2N1_T",218
"464","c277","H2N4_T","H4N1_T","H1N2_T","H3N3_T","P(c277 | G=T)=1/576","H2N4_T, H4N1_T, H1N2_T, H3N3_T",219
"1002","c490","H4N2_T","H2N4_T","H1N3_T","H3N1_T","P(c490 | G=T)=1/576","H4N2_T, H2N4_T, H1N3_T, H3N1_T",220
"395","c244","H2N3_T","H4N1_T","H3N4_T","H1N2_T","P(c244 | G=T)=1/576","H2N3_T, H4N1_T, H3N4_T, H1N2_T",221
"251","c19","H1N1_T","H3N3_T","H4N2_T","H2N4_T","P(c19 | G=T)=1/576","H1N1_T, H3N3_T, H4N2_T, H2N4_T",222
"136","c149","H2N1_T","H1N3_T","H3N2_T","H4N4_T","P(c149 | G=T)=1/576","H2N1_T, H1N3_T, H3N2_T, H4N4_T",223
"259","c193","H2N2_T","H3N1_T","H1N3_T","H4N4_T","P(c193 | G=T)=1/576","H2N2_T, H3N1_T, H1N3_T, H4N4_T",224
"1276","c77","H1N3_T","H2N2_T","H3N1_T","H4N4_T","P(c77 | G=T)=1/576","H1N3_T, H2N2_T, H3N1_T, H4N4_T",225
"490","c288","H2N4_T","H4N3_T","H3N2_T","H1N1_T","P(c288 | G=T)=1/576","H2N4_T, H4N3_T, H3N2_T, H1N1_T",226
"934","c463","H4N1_T","H3N3_T","H2N2_T","H1N4_T","P(c463 | G=T)=1/576","H4N1_T, H3N3_T, H2N2_T, H1N4_T",227
"266","c195","H2N2_T","H3N1_T","H4N3_T","H1N4_T","P(c195 | G=T)=1/576","H2N2_T, H3N1_T, H4N3_T, H1N4_T",228
"515","c294","H3N1_T","H1N3_T","H2N4_T","H4N2_T","P(c294 | G=T)=1/576","H3N1_T, H1N3_T, H2N4_T, H4N2_T",229
"483","c285","H2N4_T","H4N3_T","H1N1_T","H3N2_T","P(c285 | G=T)=1/576","H2N4_T, H4N3_T, H1N1_T, H3N2_T",230
"925","c460","H4N1_T","H3N2_T","H2N4_T","H1N3_T","P(c460 | G=T)=1/576","H4N1_T, H3N2_T, H2N4_T, H1N3_T",231
"598","c327","H3N2_T","H1N1_T","H4N3_T","H2N4_T","P(c327 | G=T)=1/576","H3N2_T, H1N1_T, H4N3_T, H2N4_T",232
"1230","c62","H1N2_T","H4N1_T","H2N4_T","H3N3_T","P(c62 | G=T)=1/576","H1N2_T, H4N1_T, H2N4_T, H3N3_T",233
"944","c466","H4N1_T","H3N4_T","H1N3_T","H2N2_T","P(c466 | G=T)=1/576","H4N1_T, H3N4_T, H1N3_T, H2N2_T",234
"597","c327","H3N2_T","H1N1_T","H4N3_T","H2N4_T","P(c327 | G=T)=1/576","H3N2_T, H1N1_T, H4N3_T, H2N4_T",235
"69","c123","H1N4_T","H3N1_T","H4N2_T","H2N3_T","P(c123 | G=T)=1/576","H1N4_T, H3N1_T, H4N2_T, H2N3_T",236
"861","c432","H3N4_T","H4N3_T","H2N2_T","H1N1_T","P(c432 | G=T)=1/576","H3N4_T, H4N3_T, H2N2_T, H1N1_T",237
"215","c177","H2N1_T","H4N4_T","H1N2_T","H3N3_T","P(c177 | G=T)=1/576","H2N1_T, H4N4_T, H1N2_T, H3N3_T",238
"481","c282","H2N4_T","H4N2_T","H1N3_T","H3N1_T","P(c282 | G=T)=1/576","H2N4_T, H4N2_T, H1N3_T, H3N1_T",239
"1200","c571","H4N4_T","H3N2_T","H2N1_T","H1N3_T","P(c571 | G=T)=1/576","H4N4_T, H3N2_T, H2N1_T, H1N3_T",240
"397","c245","H2N3_T","H4N2_T","H1N1_T","H3N4_T","P(c245 | G=T)=1/576","H2N3_T, H4N2_T, H1N1_T, H3N4_T",241
"111","c141","H1N4_T","H4N3_T","H2N1_T","H3N2_T","P(c141 | G=T)=1/576","H1N4_T, H4N3_T, H2N1_T, H3N2_T",242
"78","c126","H1N4_T","H3N2_T","H2N3_T","H4N1_T","P(c126 | G=T)=1/576","H1N4_T, H3N2_T, H2N3_T, H4N1_T",243
"783","c397","H3N4_T","H1N1_T","H2N2_T","H4N3_T","P(c397 | G=T)=1/576","H3N4_T, H1N1_T, H2N2_T, H4N3_T",244
"1176","c565","H4N4_T","H3N1_T","H1N2_T","H2N3_T","P(c565 | G=T)=1/576","H4N4_T, H3N1_T, H1N2_T, H2N3_T",245
"455","c275","H2N4_T","H3N3_T","H4N1_T","H1N2_T","P(c275 | G=T)=1/576","H2N4_T, H3N3_T, H4N1_T, H1N2_T",246
"893","c446","H4N1_T","H2N2_T","H1N4_T","H3N3_T","P(c446 | G=T)=1/576","H4N1_T, H2N2_T, H1N4_T, H3N3_T",247
"612","c331","H3N2_T","H1N3_T","H4N1_T","H2N4_T","P(c331 | G=T)=1/576","H3N2_T, H1N3_T, H4N1_T, H2N4_T",248
"1160","c557","H4N4_T","H2N2_T","H1N1_T","H3N3_T","P(c557 | G=T)=1/576","H4N4_T, H2N2_T, H1N1_T, H3N3_T",249
"923","c460","H4N1_T","H3N2_T","H2N4_T","H1N3_T","P(c460 | G=T)=1/576","H4N1_T, H3N2_T, H2N4_T, H1N3_T",250
"550","c307","H3N1_T","H2N3_T","H4N2_T","H1N4_T","P(c307 | G=T)=1/576","H3N1_T, H2N3_T, H4N2_T, H1N4_T",251
"642","c344","H3N2_T","H2N3_T","H4N4_T","H1N1_T","P(c344 | G=T)=1/576","H3N2_T, H2N3_T, H4N4_T, H1N1_T",252
"147","c152","H2N1_T","H1N3_T","H4N4_T","H3N2_T","P(c152 | G=T)=1/576","H2N1_T, H1N3_T, H4N4_T, H3N2_T",253
"174","c162","H2N1_T","H3N3_T","H1N4_T","H4N2_T","P(c162 | G=T)=1/576","H2N1_T, H3N3_T, H1N4_T, H4N2_T",254
"736","c38","H1N2_T","H2N1_T","H3N4_T","H4N3_T","P(c38 | G=T)=1/576","H1N2_T, H2N1_T, H3N4_T, H4N3_T",255
"590","c325","H3N2_T","H1N1_T","H2N3_T","H4N4_T","P(c325 | G=T)=1/576","H3N2_T, H1N1_T, H2N3_T, H4N4_T",256
"145","c152","H2N1_T","H1N3_T","H4N4_T","H3N2_T","P(c152 | G=T)=1/576","H2N1_T, H1N3_T, H4N4_T, H3N2_T",257
"283","c2","H1N1_T","H2N2_T","H3N4_T","H4N3_T","P(c2 | G=T)=1/576","H1N1_T, H2N2_T, H3N4_T, H4N3_T",258
"632","c340","H3N2_T","H2N1_T","H4N4_T","H1N3_T","P(c340 | G=T)=1/576","H3N2_T, H2N1_T, H4N4_T, H1N3_T",259
"540","c300","H3N1_T","H1N4_T","H4N3_T","H2N2_T","P(c300 | G=T)=1/576","H3N1_T, H1N4_T, H4N3_T, H2N2_T",260
"995","c487","H4N2_T","H2N3_T","H3N1_T","H1N4_T","P(c487 | G=T)=1/576","H4N2_T, H2N3_T, H3N1_T, H1N4_T",261
"230","c18","H1N1_T","H3N3_T","H2N4_T","H4N2_T","P(c18 | G=T)=1/576","H1N1_T, H3N3_T, H2N4_T, H4N2_T",262
"646","c346","H3N2_T","H2N4_T","H1N3_T","H4N1_T","P(c346 | G=T)=1/576","H3N2_T, H2N4_T, H1N3_T, H4N1_T",263
"153","c155","H2N1_T","H1N4_T","H4N2_T","H3N3_T","P(c155 | G=T)=1/576","H2N1_T, H1N4_T, H4N2_T, H3N3_T",264
"1253","c70","H1N2_T","H4N4_T","H2N3_T","H3N1_T","P(c70 | G=T)=1/576","H1N2_T, H4N4_T, H2N3_T, H3N1_T",265
"1216","c59","H1N2_T","H3N4_T","H4N1_T","H2N3_T","P(c59 | G=T)=1/576","H1N2_T, H3N4_T, H4N1_T, H2N3_T",266
"860","c431","H3N4_T","H4N3_T","H2N1_T","H1N2_T","P(c431 | G=T)=1/576","H3N4_T, H4N3_T, H2N1_T, H1N2_T",267
"5","c10","H1N1_T","H2N4_T","H3N3_T","H4N2_T","P(c10 | G=T)=1/576","H1N1_T, H2N4_T, H3N3_T, H4N2_T",268
"496","c29","H1N1_T","H4N3_T","H2N2_T","H3N4_T","P(c29 | G=T)=1/576","H1N1_T, H4N3_T, H2N2_T, H3N4_T",269
"859","c431","H3N4_T","H4N3_T","H2N1_T","H1N2_T","P(c431 | G=T)=1/576","H3N4_T, H4N3_T, H2N1_T, H1N2_T",270
"297","c206","H2N2_T","H4N1_T","H1N4_T","H3N3_T","P(c206 | G=T)=1/576","H2N2_T, H4N1_T, H1N4_T, H3N3_T",271
"873","c438","H4N1_T","H1N3_T","H2N4_T","H3N2_T","P(c438 | G=T)=1/576","H4N1_T, H1N3_T, H2N4_T, H3N2_T",272
"323","c217","H2N3_T","H1N1_T","H3N2_T","H4N4_T","P(c217 | G=T)=1/576","H2N3_T, H1N1_T, H3N2_T, H4N4_T",273
"930","c461","H4N1_T","H3N3_T","H1N2_T","H2N4_T","P(c461 | G=T)=1/576","H4N1_T, H3N3_T, H1N2_T, H2N4_T",274
"138","c15","H1N1_T","H3N2_T","H4N3_T","H2N4_T","P(c15 | G=T)=1/576","H1N1_T, H3N2_T, H4N3_T, H2N4_T",275
"508","c292","H3N1_T","H1N2_T","H4N4_T","H2N3_T","P(c292 | G=T)=1/576","H3N1_T, H1N2_T, H4N4_T, H2N3_T",276
"957","c474","H4N2_T","H1N3_T","H2N4_T","H3N1_T","P(c474 | G=T)=1/576","H4N2_T, H1N3_T, H2N4_T, H3N1_T",277
"563","c314","H3N1_T","H4N2_T","H1N4_T","H2N3_T","P(c314 | G=T)=1/576","H3N1_T, H4N2_T, H1N4_T, H2N3_T",278
"151","c154","H2N1_T","H1N4_T","H3N3_T","H4N2_T","P(c154 | G=T)=1/576","H2N1_T, H1N4_T, H3N3_T, H4N2_T",279
"277","c199","H2N2_T","H3N3_T","H4N1_T","H1N4_T","P(c199 | G=T)=1/576","H2N2_T, H3N3_T, H4N1_T, H1N4_T",280
"312","c213","H2N2_T","H4N4_T","H1N1_T","H3N3_T","P(c213 | G=T)=1/576","H2N2_T, H4N4_T, H1N1_T, H3N3_T",281
"404","c248","H2N3_T","H4N2_T","H3N4_T","H1N1_T","P(c248 | G=T)=1/576","H2N3_T, H4N2_T, H3N4_T, H1N1_T",282
"1082","c530","H4N3_T","H3N1_T","H1N4_T","H2N2_T","P(c530 | G=T)=1/576","H4N3_T, H3N1_T, H1N4_T, H2N2_T",283
"906","c452","H4N1_T","H2N3_T","H3N4_T","H1N2_T","P(c452 | G=T)=1/576","H4N1_T, H2N3_T, H3N4_T, H1N2_T",284
"840","c425","H3N4_T","H4N2_T","H1N1_T","H2N3_T","P(c425 | G=T)=1/576","H3N4_T, H4N2_T, H1N1_T, H2N3_T",285
"176","c162","H2N1_T","H3N3_T","H1N4_T","H4N2_T","P(c162 | G=T)=1/576","H2N1_T, H3N3_T, H1N4_T, H4N2_T",286
"433","c264","H2N4_T","H1N3_T","H4N2_T","H3N1_T","P(c264 | G=T)=1/576","H2N4_T, H1N3_T, H4N2_T, H3N1_T",287
"186","c166","H2N1_T","H3N4_T","H1N3_T","H4N2_T","P(c166 | G=T)=1/576","H2N1_T, H3N4_T, H1N3_T, H4N2_T",288
"798","c402","H3N4_T","H1N2_T","H2N3_T","H4N1_T","P(c402 | G=T)=1/576","H3N4_T, H1N2_T, H2N3_T, H4N1_T",289
"955","c473","H4N2_T","H1N3_T","H2N1_T","H3N4_T","P(c473 | G=T)=1/576","H4N2_T, H1N3_T, H2N1_T, H3N4_T",290
"732","c378","H3N3_T","H2N2_T","H1N4_T","H4N1_T","P(c378 | G=T)=1/576","H3N3_T, H2N2_T, H1N4_T, H4N1_T",291
"381","c239","H2N3_T","H3N4_T","H4N1_T","H1N2_T","P(c239 | G=T)=1/576","H2N3_T, H3N4_T, H4N1_T, H1N2_T",292
"1144","c549","H4N4_T","H1N3_T","H2N1_T","H3N2_T","P(c549 | G=T)=1/576","H4N4_T, H1N3_T, H2N1_T, H3N2_T",293
"110","c141","H1N4_T","H4N3_T","H2N1_T","H3N2_T","P(c141 | G=T)=1/576","H1N4_T, H4N3_T, H2N1_T, H3N2_T",294
"663","c351","H3N2_T","H4N1_T","H2N3_T","H1N4_T","P(c351 | G=T)=1/576","H3N2_T, H4N1_T, H2N3_T, H1N4_T",295
"868","c437","H4N1_T","H1N3_T","H2N2_T","H3N4_T","P(c437 | G=T)=1/576","H4N1_T, H1N3_T, H2N2_T, H3N4_T",296
"793","c400","H3N4_T","H1N1_T","H4N3_T","H2N2_T","P(c400 | G=T)=1/576","H3N4_T, H1N1_T, H4N3_T, H2N2_T",297
"1244","c67","H1N2_T","H4N3_T","H3N1_T","H2N4_T","P(c67 | G=T)=1/576","H1N2_T, H4N3_T, H3N1_T, H2N4_T",298
"705","c367","H3N3_T","H1N2_T","H4N1_T","H2N4_T","P(c367 | G=T)=1/576","H3N3_T, H1N2_T, H4N1_T, H2N4_T",299
"222","c178","H2N1_T","H4N4_T","H1N3_T","H3N2_T","P(c178 | G=T)=1/576","H2N1_T, H4N4_T, H1N3_T, H3N2_T",300
"293","c204","H2N2_T","H3N4_T","H4N3_T","H1N1_T","P(c204 | G=T)=1/576","H2N2_T, H3N4_T, H4N3_T, H1N1_T",301
"1182","c566","H4N4_T","H3N1_T","H1N3_T","H2N2_T","P(c566 | G=T)=1/576","H4N4_T, H3N1_T, H1N3_T, H2N2_T",302
"553","c311","H3N1_T","H2N4_T","H4N2_T","H1N3_T","P(c311 | G=T)=1/576","H3N1_T, H2N4_T, H4N2_T, H1N3_T",303
"420","c256","H2N4_T","H1N1_T","H4N3_T","H3N2_T","P(c256 | G=T)=1/576","H2N4_T, H1N1_T, H4N3_T, H3N2_T",304
"1136","c547","H4N4_T","H1N2_T","H3N1_T","H2N3_T","P(c547 | G=T)=1/576","H4N4_T, H1N2_T, H3N1_T, H2N3_T",305
"425","c261","H2N4_T","H1N3_T","H3N1_T","H4N2_T","P(c261 | G=T)=1/576","H2N4_T, H1N3_T, H3N1_T, H4N2_T",306
"33","c110","H1N4_T","H2N1_T","H3N3_T","H4N2_T","P(c110 | G=T)=1/576","H1N4_T, H2N1_T, H3N3_T, H4N2_T",307
"1205","c572","H4N4_T","H3N2_T","H2N3_T","H1N1_T","P(c572 | G=T)=1/576","H4N4_T, H3N2_T, H2N3_T, H1N1_T",308
"570","c316","H3N1_T","H4N2_T","H2N4_T","H1N3_T","P(c316 | G=T)=1/576","H3N1_T, H4N2_T, H2N4_T, H1N3_T",309
"887","c443","H4N1_T","H1N4_T","H3N2_T","H2N3_T","P(c443 | G=T)=1/576","H4N1_T, H1N4_T, H3N2_T, H2N3_T",310
"1075","c527","H4N3_T","H2N4_T","H3N1_T","H1N2_T","P(c527 | G=T)=1/576","H4N3_T, H2N4_T, H3N1_T, H1N2_T",311
"773","c393","H3N3_T","H4N4_T","H1N1_T","H2N2_T","P(c393 | G=T)=1/576","H3N3_T, H4N4_T, H1N1_T, H2N2_T",312
"372","c235","H2N3_T","H3N2_T","H4N1_T","H1N4_T","P(c235 | G=T)=1/576","H2N3_T, H3N2_T, H4N1_T, H1N4_T",313
"371","c235","H2N3_T","H3N2_T","H4N1_T","H1N4_T","P(c235 | G=T)=1/576","H2N3_T, H3N2_T, H4N1_T, H1N4_T",314
"1293","c85","H1N3_T","H3N1_T","H2N2_T","H4N4_T","P(c85 | G=T)=1/576","H1N3_T, H3N1_T, H2N2_T, H4N4_T",315
"44","c114","H1N4_T","H2N2_T","H3N3_T","H4N1_T","P(c114 | G=T)=1/576","H1N4_T, H2N2_T, H3N3_T, H4N1_T",316
"35","c111","H1N4_T","H2N1_T","H4N2_T","H3N3_T","P(c111 | G=T)=1/576","H1N4_T, H2N1_T, H4N2_T, H3N3_T",317
"375","c236","H2N3_T","H3N2_T","H4N4_T","H1N1_T","P(c236 | G=T)=1/576","H2N3_T, H3N2_T, H4N4_T, H1N1_T",318
"290","c201","H2N2_T","H3N4_T","H1N1_T","H4N3_T","P(c201 | G=T)=1/576","H2N2_T, H3N4_T, H1N1_T, H4N3_T",319
"974","c481","H4N2_T","H2N1_T","H1N3_T","H3N4_T","P(c481 | G=T)=1/576","H4N2_T, H2N1_T, H1N3_T, H3N4_T",320
"47","c115","H1N4_T","H2N2_T","H4N1_T","H3N3_T","P(c115 | G=T)=1/576","H1N4_T, H2N2_T, H4N1_T, H3N3_T",321
"1014","c497","H4N2_T","H3N3_T","H1N1_T","H2N4_T","P(c497 | G=T)=1/576","H4N2_T, H3N3_T, H1N1_T, H2N4_T",322
"350","c229","H2N3_T","H3N1_T","H1N2_T","H4N4_T","P(c229 | G=T)=1/576","H2N3_T, H3N1_T, H1N2_T, H4N4_T",323
"1297","c89","H1N3_T","H3N2_T","H2N1_T","H4N4_T","P(c89 | G=T)=1/576","H1N3_T, H3N2_T, H2N1_T, H4N4_T",324
"267","c196","H2N2_T","H3N1_T","H4N4_T","H1N3_T","P(c196 | G=T)=1/576","H2N2_T, H3N1_T, H4N4_T, H1N3_T",325
"309","c212","H2N2_T","H4N3_T","H3N4_T","H1N1_T","P(c212 | G=T)=1/576","H2N2_T, H4N3_T, H3N4_T, H1N1_T",326
"401","c247","H2N3_T","H4N2_T","H3N1_T","H1N4_T","P(c247 | G=T)=1/576","H2N3_T, H4N2_T, H3N1_T, H1N4_T",327
"21","c108","H1N3_T","H4N4_T","H3N2_T","H2N1_T","P(c108 | G=T)=1/576","H1N3_T, H4N4_T, H3N2_T, H2N1_T",328
"741","c380","H3N3_T","H2N2_T","H4N4_T","H1N1_T","P(c380 | G=T)=1/576","H3N3_T, H2N2_T, H4N4_T, H1N1_T",329
"1090","c531","H4N3_T","H3N1_T","H2N2_T","H1N4_T","P(c531 | G=T)=1/576","H4N3_T, H3N1_T, H2N2_T, H1N4_T",330
"837","c423","H3N4_T","H4N1_T","H2N2_T","H1N3_T","P(c423 | G=T)=1/576","H3N4_T, H4N1_T, H2N2_T, H1N3_T",331
"1043","c509","H4N3_T","H1N2_T","H2N1_T","H3N4_T","P(c509 | G=T)=1/576","H4N3_T, H1N2_T, H2N1_T, H3N4_T",332
"1145","c550","H4N4_T","H1N3_T","H2N2_T","H3N1_T","P(c550 | G=T)=1/576","H4N4_T, H1N3_T, H2N2_T, H3N1_T",333
"42","c113","H1N4_T","H2N2_T","H3N1_T","H4N3_T","P(c113 | G=T)=1/576","H1N4_T, H2N2_T, H3N1_T, H4N3_T",334
"453","c273","H2N4_T","H3N3_T","H1N1_T","H4N2_T","P(c273 | G=T)=1/576","H2N4_T, H3N3_T, H1N1_T, H4N2_T",335
"333","c223","H2N3_T","H1N2_T","H4N1_T","H3N4_T","P(c223 | G=T)=1/576","H2N3_T, H1N2_T, H4N1_T, H3N4_T",336
"318","c216","H2N2_T","H4N4_T","H3N3_T","H1N1_T","P(c216 | G=T)=1/576","H2N2_T, H4N4_T, H3N3_T, H1N1_T",337
"192","c17","H1N1_T","H3N3_T","H2N2_T","H4N4_T","P(c17 | G=T)=1/576","H1N1_T, H3N3_T, H2N2_T, H4N4_T",338
"1108","c536","H4N3_T","H3N2_T","H2N4_T","H1N1_T","P(c536 | G=T)=1/576","H4N3_T, H3N2_T, H2N4_T, H1N1_T",339
"377","c237","H2N3_T","H3N4_T","H1N1_T","H4N2_T","P(c237 | G=T)=1/576","H2N3_T, H3N4_T, H1N1_T, H4N2_T",340
"1147","c551","H4N4_T","H1N3_T","H3N1_T","H2N2_T","P(c551 | G=T)=1/576","H4N4_T, H1N3_T, H3N1_T, H2N2_T",341
"160","c157","H2N1_T","H3N2_T","H1N3_T","H4N4_T","P(c157 | G=T)=1/576","H2N1_T, H3N2_T, H1N3_T, H4N4_T",342
"530","c298","H3N1_T","H1N4_T","H2N3_T","H4N2_T","P(c298 | G=T)=1/576","H3N1_T, H1N4_T, H2N3_T, H4N2_T",343
"1174","c564","H4N4_T","H2N3_T","H3N2_T","H1N1_T","P(c564 | G=T)=1/576","H4N4_T, H2N3_T, H3N2_T, H1N1_T",344
"311","c213","H2N2_T","H4N4_T","H1N1_T","H3N3_T","P(c213 | G=T)=1/576","H2N2_T, H4N4_T, H1N1_T, H3N3_T",345
"226","c179","H2N1_T","H4N4_T","H3N2_T","H1N3_T","P(c179 | G=T)=1/576","H2N1_T, H4N4_T, H3N2_T, H1N3_T",346
"286","c20","H1N1_T","H3N3_T","H4N4_T","H2N2_T","P(c20 | G=T)=1/576","H1N1_T, H3N3_T, H4N4_T, H2N2_T",347
"759","c385","H3N3_T","H4N1_T","H1N2_T","H2N4_T","P(c385 | G=T)=1/576","H3N3_T, H4N1_T, H1N2_T, H2N4_T",348
"1088","c531","H4N3_T","H3N1_T","H2N2_T","H1N4_T","P(c531 | G=T)=1/576","H4N3_T, H3N1_T, H2N2_T, H1N4_T",349
"423","c26","H1N1_T","H4N2_T","H2N4_T","H3N3_T","P(c26 | G=T)=1/576","H1N1_T, H4N2_T, H2N4_T, H3N3_T",350
"52","c116","H1N4_T","H2N2_T","H4N3_T","H3N1_T","P(c116 | G=T)=1/576","H1N4_T, H2N2_T, H4N3_T, H3N1_T",351
